,ProductName,NumberofReviews,Price,Discount,Rate
265, Rockerz 450R,10 reviews,1499,62%,5.0    
266, Rockerz 450R,10 reviews,1499,62%,5.0    
267, Rockerz 450R,10 reviews,1499,62%,5.0    
268, Rockerz 425 ,22 reviews,1499,50%,4.9    
269, Rockerz 425 ,22 reviews,1499,50%,4.9    
270, Rockerz 425 ,22 reviews,1499,50%,4.9    
271, Rockerz 425 ,22 reviews,1499,50%,4.9    
272, Rockerz 425 ,22 reviews,1499,50%,4.9    
273, Rockerz 425 ,22 reviews,1499,50%,4.9    
274, Rockerz 450 Batman DC Edition ,8 reviews,1299,67%,4.9    
275, Rockerz 450 Batman DC Edition ,8 reviews,1299,67%,4.9    
276, Rockerz 450 Batman DC Edition ,8 reviews,1299,67%,4.9    
277, Rockerz 450 Batman DC Edition ,8 reviews,1299,67%,4.9    
278, Rockerz 450 Batman DC Edition ,8 reviews,1299,67%,4.9    
279, Rockerz 450 Batman DC Edition ,8 reviews,1299,67%,4.9    
280,Rockerz 255 ARC ,1 review,1299,48%,4.0    
281, Trebel Rockerz 255 Pro+ ,7 reviews,1599,60%,4.7    
282, Trebel Rockerz 255 Pro+ ,7 reviews,1599,60%,4.7    
283, Trebel Rockerz 255 Pro+ ,7 reviews,1599,60%,4.7    
284, Trebel Rockerz 255 Pro+ ,7 reviews,1599,60%,4.7    
285, Trebel Rockerz 255 Pro+ ,7 reviews,1599,60%,4.7    
286, Trebel Rockerz 255 Pro+ ,7 reviews,1599,60%,4.7    
